date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:45	23698/23698	---M-Z	200	added ('OK')	text/html	etag:%225c92-5810590a-0;gz%22	https://themezinho.net/parada/index.html	G:/Work/Mivern/website1/themezinho.net/parada/index.html	(from )
13:52:45	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-6163cc7b-0;;;%22	https://themezinho.net/robots.txt		(from )
13:52:46	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jul%202024%2010:52:47%20GMT	http://www.themezinho.net/parada/preview.png	G:/Work/Mivern/website1/www.themezinho.net/parada/preview.1.delayed	(from https://themezinho.net/parada/index.html)
13:52:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jul%202024%2010:52:48%20GMT	https://www.themezinho.net/parada/preview.png	G:/Work/Mivern/website1/www.themezinho.net/parada/preview.2.delayed	(from https://themezinho.net/parada/index.html)
13:52:49	31841/31841	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jul%202024%2010:52:50%20GMT	https://themezinho.net/parada/preview.png	G:/Work/Mivern/website1/themezinho.net/parada/preview.png	(from https://themezinho.net/parada/index.html)
13:52:50	24116/24116	---M--	200	added ('OK')	image/png	etag:%225e34-5810591c-0;;;%22	https://themezinho.net/parada/ico/apple-touch-icon-144-precomposed.png	G:/Work/Mivern/website1/themezinho.net/parada/ico/apple-touch-icon-144-precomposed.png	(from https://themezinho.net/parada/index.html)
13:52:51	24513/24513	---M--	200	added ('OK')	image/png	etag:%225fc1-5810591b-0;;;%22	https://themezinho.net/parada/ico/apple-touch-icon-114-precomposed.png	G:/Work/Mivern/website1/themezinho.net/parada/ico/apple-touch-icon-114-precomposed.png	(from https://themezinho.net/parada/index.html)
13:52:52	21846/21846	---M--	200	added ('OK')	image/png	etag:%225556-5810591d-0;;;%22	https://themezinho.net/parada/ico/apple-touch-icon-72-precomposed.png	G:/Work/Mivern/website1/themezinho.net/parada/ico/apple-touch-icon-72-precomposed.png	(from https://themezinho.net/parada/index.html)
13:52:52	21316/21316	---M--	200	added ('OK')	image/png	etag:%225344-5810591c-0;;;%22	https://themezinho.net/parada/ico/apple-touch-icon-57-precomposed.png	G:/Work/Mivern/website1/themezinho.net/parada/ico/apple-touch-icon-57-precomposed.png	(from https://themezinho.net/parada/index.html)
13:52:52	19492/19492	---M--	200	added ('OK')	image/png	etag:%224c24-5810591d-0;;;%22	https://themezinho.net/parada/ico/favicon.png	G:/Work/Mivern/website1/themezinho.net/parada/ico/favicon.png	(from https://themezinho.net/parada/index.html)
13:52:52	35463/35463	---M-Z	200	added ('OK')	text/css	etag:%228a87-5810596a-0;gz%22	https://themezinho.net/parada/revolution/css/settings.css	G:/Work/Mivern/website1/themezinho.net/parada/revolution/css/settings.css	(from https://themezinho.net/parada/index.html)
13:52:52	115205/115205	---M-Z	200	added ('OK')	text/css	etag:%221c205-5810596a-0;gz%22	https://themezinho.net/parada/revolution/css/layers.css	G:/Work/Mivern/website1/themezinho.net/parada/revolution/css/layers.css	(from https://themezinho.net/parada/index.html)
13:52:53	59567/59567	---M-Z	200	added ('OK')	text/css	etag:%22e8af-58105968-0;gz%22	https://themezinho.net/parada/revolution/css/navigation.css	G:/Work/Mivern/website1/themezinho.net/parada/revolution/css/navigation.css	(from https://themezinho.net/parada/index.html)
13:52:53	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-581082c9-0;gz%22	https://themezinho.net/parada/css/fa.min.css	G:/Work/Mivern/website1/themezinho.net/parada/css/fa.min.css	(from https://themezinho.net/parada/index.html)
13:52:53	57098/57098	---M-Z	200	added ('OK')	text/css	etag:%22df0a-581082c7-0;gz%22	https://themezinho.net/parada/css/animate.css	G:/Work/Mivern/website1/themezinho.net/parada/css/animate.css	(from https://themezinho.net/parada/index.html)
13:52:53	4651/4651	---M-Z	200	added ('OK')	text/css	etag:%22122b-581082c9-0;gz%22	https://themezinho.net/parada/css/odometer.css	G:/Work/Mivern/website1/themezinho.net/parada/css/odometer.css	(from https://themezinho.net/parada/index.html)
13:52:54	4906/4906	---M-Z	200	added ('OK')	text/css	etag:%22132a-581082c9-0;gz%22	https://themezinho.net/parada/css/jquery.fancybox.css	G:/Work/Mivern/website1/themezinho.net/parada/css/jquery.fancybox.css	(from https://themezinho.net/parada/index.html)
13:52:54	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-581082c9-0;gz%22	https://themezinho.net/parada/css/bootstrap.min.css	G:/Work/Mivern/website1/themezinho.net/parada/css/bootstrap.min.css	(from https://themezinho.net/parada/index.html)
